time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range
2048,93.57142857142857,5239,0,-188.16972171428574,1,,,,,,,,,,
4096,92.09302325581395,5140,0,-168.53238709302326,2,0.001498919063649211,469.5316467285156,-1.3775394558906555,-0.00798993454449565,19,-0.002256631851196289,0.01320491,1516.8099329095137,0.04854543585526316,0.25
6144,94.25,5272,1,-173.61524976562498,3,0.001498919063649211,580.0657348632812,-1.3590245223359059,-0.012615706158899948,38,-0.0112990140914917,0.012592882,1236.4405609933954,0.06848787006578948,0.25
8192,93.73255813953489,5033,1,-156.78847570930233,4,0.001498919063649211,527.0006713867188,-1.3405383997841884,-0.0144129014408559,57,-0.02264714241027832,0.018071841,979.4712672986483,0.11698190789473684,0.25
10240,91.36,4618,2,-146.39060188,5,0.001498919063649211,143.2184295654297,-1.3254972100257874,-0.013359589609440024,76,-0.0001742839813232422,0.012306422,299.2289362455669,0.12703022203947367,0.25
12288,92.35,4757,2,-131.88467881,6,0.001498919063649211,190.10687255859375,-1.3227029176134812,-0.01728122129631964,95,0.014556825160980225,0.016172685,410.6357287356728,0.0962171052631579,0.25
14336,95.16,4887,2,-118.32634012,7,0.001498919063649211,142.20840454101562,-1.2942076309731132,-0.014426251239216837,114,-0.05700492858886719,0.018562928,363.3110811333907,0.14543071546052633,0.25
16384,98.22,4990,3,-113.5369872,8,0.001498919063649211,164.0192108154297,-1.305780642126736,-0.018907911450553098,133,-0.32027971744537354,0.023558185,317.29989091973556,0.12582236842105263,0.25
18432,103.25,5071,3,-115.80239592000002,9,0.001498919063649211,344.48980712890625,-1.276121479115988,-0.01672549711809935,152,0.061945557594299316,0.021333054,625.0078994349429,0.08989514802631579,0.25
20480,111.66,5142,3,-106.04202001,10,0.001498919063649211,192.32781982421875,-1.2435021847486496,-0.021209706046839097,171,-0.012191534042358398,0.017063066,385.13204293502,0.11161081414473684,0.25
22528,121.57,5169,4,-100.36388225,11,0.001498919063649211,120.11911010742188,-1.1912130948744322,-0.013546440722788438,190,0.08085161447525024,0.017464481,238.01455347161544,0.0961657072368421,0.25
24576,131.3,5191,4,-99.13698031999998,12,0.001498919063649211,130.34384155273438,-1.1072669852721064,-0.021261163794214985,209,0.14551115036010742,0.017653272,240.74124286049292,0.10652240953947369,0.25
26624,139.29,5159,5,-100.05294843,13,0.001498919063649211,246.37811279296875,-1.1397296551026797,-0.015193297965819702,228,0.1195913553237915,0.011200888,474.03101850810805,0.06704872532894737,0.25
28672,148.15,5187,5,-92.87909389000001,14,0.001498919063649211,172.86756896972656,-1.161859986813445,-0.012589224715300492,247,0.2618396282196045,0.013342225,363.4111382333856,0.06147203947368421,0.25
30720,164.1,5221,5,-88.3630535,15,0.001498919063649211,90.55773162841797,-1.0768264077211682,-0.009345335135309907,266,0.16922205686569214,0.01252239,220.99555050699334,0.08162006578947369,0.25
32768,174.61,5251,6,-77.56477698,16,0.001498919063649211,151.86000061035156,-1.07262322306633,-0.017479307695267426,285,0.20742136240005493,0.0127185695,317.07157777485094,0.08293071546052631,0.25
34816,192.52,5238,6,-73.53022084,17,0.001498919063649211,89.85974884033203,-1.0220687777588242,-0.01580865588498694,304,0.3035123944282532,0.016074412,212.95184165553042,0.07971833881578948,0.25
36864,204.45,5247,7,-69.33096848999999,18,0.001498919063649211,23.919565200805664,-1.1357250260679346,-0.010783897351326519,323,0.2619616389274597,0.01712415,102.76487237528751,0.10731907894736842,0.25
38912,220.79,5272,7,-67.50033479999999,19,0.001498919063649211,50.89882278442383,-1.0389011482659138,-0.012211144249273562,342,0.4651886820793152,0.018705945,98.63504211526168,0.12078536184210527,0.25
40960,241.82,5287,7,-62.80376673999999,20,0.001498919063649211,56.68278884887695,-1.0748411158197804,-0.012465931133575444,361,0.4012385606765747,0.016650755,157.1938352082905,0.12263569078947369,0.25
43008,251.46,5312,8,-59.163599870000006,21,0.001498919063649211,24.089496612548828,-1.0535714249861867,-0.015790615995157214,380,0.7045935392379761,0.022165855,59.150811421243766,0.11009457236842106,0.25
45056,267.16,5331,8,-60.57865238,22,0.001498919063649211,35.28520584106445,-1.0525908297614048,-0.018360791614548743,399,0.5141934156417847,0.026779952,120.12177758467824,0.208984375,0.25
47104,283.27,5354,8,-55.00069705,23,0.001498919063649211,38.464576721191406,-1.0977030223921727,-0.020087239841048262,418,0.6479314565658569,0.024059985,86.95746916218808,0.14668996710526316,0.25
49152,301.23,5367,9,-52.02647760000001,24,0.001498919063649211,17.17186164855957,-1.0399916042622768,-0.013119466063615522,437,0.8497845530509949,0.014772652,40.6703644300762,0.09578022203947369,0.25
51200,310.97,5374,9,-51.03958926,25,0.001498919063649211,30.561769485473633,-1.0635531787809573,-0.02262905001713845,456,0.7556948065757751,0.011487891,79.75603452481721,0.07026110197368421,0.25
53248,323.8,5375,9,-49.38027794,26,0.001498919063649211,41.33115005493164,-1.0592659233432067,-0.010740100809734462,475,0.9179446697235107,0.013884421,66.65155265205784,0.10295024671052631,0.25
55296,340.52,5371,10,-45.385874060000006,27,0.001498919063649211,12.68281364440918,-1.006114707573464,-0.01049406405256473,494,0.9232008457183838,0.015453886,52.409773575632194,0.07732833059210527,0.25
57344,357.85,5378,10,-42.9339057,28,0.001498919063649211,4.367448806762695,-1.036753081569546,-0.0107309836480693,513,0.9522253274917603,0.020881837,13.269152682078513,0.12075966282894737,0.25
59392,377.33,5390,11,-36.59335142,29,0.001498919063649211,3.5664103031158447,-0.9577420549957376,-0.015079280067431299,532,0.9609789252281189,0.018656103,16.07687162725549,0.11410361842105263,0.25
61440,388.77,5333,11,-32.115021500000005,30,0.001498919063649211,70.87043762207031,-0.9749195948243141,-0.017272195696070986,551,0.5864742994308472,0.029557403,254.71966984397486,0.14591899671052633,0.25
63488,401.35,5346,11,-19.761203960000003,31,0.001498919063649211,102.10079956054688,-1.0005664754855006,-0.01635777112019959,570,0.7059227228164673,0.023781644,140.20195293426514,0.20333059210526316,0.25
65536,408.15,5357,12,-15.490011290000002,32,0.001498919063649211,73.29855346679688,-0.9028740893853339,-0.010754485063156799,589,0.6069697141647339,0.009412684,222.46930729715447,0.05538137335526316,0.25
